"Rank","Player","Team","Bye","POS","AVG"
"273","Odell Beckham Jr.","NYG","8","WR112","274.0"
"274","Justin Fields","KC","5","QB38","275.0"
"275","Elijah Arroyo","SEA","11","TE45","276.0"
"276","Najee Harris","LAC","7","RB81","277.0"
"277","Tez Johnson","TB","10","WR113","278.0"
"278","Emari Demercado","KC","5","RB82","279.0"
"279","Kyle Williams","NE","11","WR114","280.0"
"280","Bryce Lance","NO","8","WR115","281.0"
"281","Jahan Dotson","ATL","11","WR116","282.0"
"282","Xavier Legette","CAR","5","WR117","283.0"
"283","Cole Kmet","CHI","10","TE46","284.0"
"284","Jordan Whittington","LAR","11","WR118","285.0"
"285","Erick All Jr.","CIN","6","TE47","286.0"
"286","Kendrick Bourne","ARI","14","WR119","287.0"
"287","Cyrus Allen","KC","5","WR120","288.0"
"288","Kevin Coleman Jr.","MIA","6","WR121","289.0"
"289","Kalif Raymond","CHI","10","WR122","290.0"
"290","Tahj Brooks","CIN","6","RB83","291.0"
"291","Justin Joly","DEN","10","TE48","292.0"
"292","Kaleb Johnson","PIT","9","RB84","293.0"
"293","Anthony Richardson Sr.","IND","13","QB39","294.0"
"294","Isaiah Bond","CLE","11","WR123","295.0"
"295","Nick Westbrook-Ikhine","IND","13","WR124","296.0"
"296","Phil Mafah","DAL","14","RB85","297.0"
"297","Malik Benson","LV","13","WR125","298.0"
"298","KaVontae Turpin","DAL","14","WR126","299.0"
"299","Treylon Burks","WAS","7","WR127","300.0"
"300","Mac Jones","SF","8","QB40","301.0"
"301","Joe Flacco","CIN","6","QB41","302.0"
"302","DeMario Douglas","NE","11","WR128","303.0"
"303","Trey Benson","ARI","14","RB86","304.0"
"304","Colbie Young","CIN","6","WR129","305.0"
"305","Eli Heidenreich","PIT","9","RB87","306.0"
"306","Marvin Mims Jr.","DEN","10","WR130","307.0"
"307","Noah Gray","KC","5","TE49","308.0"
"308","Max Klare","LAR","11","TE50","309.0"
"309","Jalen Royals","KC","5","WR131","310.0"
"310","Dyami Brown","WAS","7","WR132","311.0"
"311","Olamide Zaccheaus","ATL","11","WR133","312.0"
"312","Jaylin Lane","WAS","7","WR134","313.0"
"313","Isaiah Davis","NYJ","13","RB88","314.0"
"314","Calvin Austin III","NYG","8","WR135","315.0"
"315","Konata Mumpfield","LAR","11","WR136","316.0"
"316","Luke Musgrave","GB","11","TE51","317.0"
"317","CJ Daniels","LAR","11","WR137","318.0"
"318","Devin Neal","NO","8","RB89","319.0"
"319","Seth McGowan","IND","13","RB90","320.0"
"320","Tutu Atwell","MIA","6","WR138","321.0"
"321","Joshua Palmer","BUF","7","WR139","322.0"
"322","Mitchell Evans","CAR","5","TE52","323.0"
"323","Tommy Tremble","CAR","5","TE53","324.0"
"324","Ben Sinnott","WAS","7","TE54","325.0"
"325","Roman Wilson","PIT","9","WR140","326.0"
"326","Jahdae Walker","CHI","10","WR141","327.0"
"327","Audric Estime","NO","8","RB91","328.0"
"328","Luke McCaffrey","WAS","7","WR142","329.0"
"329","Ashton Dulin","IND","13","WR143","330.0"
"330","Joe Mixon","","","RB92","331.0"
"331","Mack Hollins","NE","11","WR144","332.0"
"332","Taylen Green","CLE","11","QB42","333.0"
"333","Xavier Hutchinson","HOU","8","WR145","334.0"
"334","Trevor Etienne","CAR","5","RB93","335.0"
"335","Isaiah Williams","NYJ","13","WR146","336.0"
"336","Michael Trigg","DAL","14","TE55","337.0"
"337","Cade Stover","HOU","8","TE56","338.0"
"338","Tyler Higbee","LAR","11","TE57","339.0"
"339","Dont'e Thornton Jr.","LV","13","WR147","340.0"
"340","Greg Dortch","DET","6","WR148","341.0"
"341","Deion Burks","IND","13","WR149","342.0"
"342","Xavier Smith","LAR","11","WR150","343.0"
"343","Isaac Guerendo","SF","8","RB94","344.0"
"344","Brashard Smith","KC","5","RB95","345.0"
"345","Marcus Mariota","WAS","7","QB43","346.0"
"346","Jameis Winston","NYG","8","QB44","347.0"
"347","Joe Milton III","DAL","14","QB45","348.0"
"348","Devin Singletary","NYG","8","RB96","349.0"
"349","Cedric Tillman","CLE","11","WR151","350.0"
"350","Skyy Moore","GB","11","WR152","351.0"
"351","Tyler Scott","LAR","11","WR153","352.0"
"352","Kareem Hunt","","","RB97","353.0"
"353","Will Kacmarek","MIA","6","TE58","354.0"
"354","Jack Endries","CIN","6","TE59","355.0"
"355","Elijah Higgins","ARI","14","TE60","356.0"
"356","Daniel Bellinger","TEN","9","TE61","357.0"
"357","John Metchie III","CAR","5","WR154","358.0"
"358","KeAndre Lambert-Smith","LAC","7","WR155","359.0"
"359","Will Shipley","PHI","10","RB98","360.0"
"360","J'Mari Taylor","JAC","7","RB99","361.0"
"361","Gardner Minshew II","ARI","14","QB46","362.0"
"362","Sam Roush","CHI","10","TE62","363.0"
"363","Demarcus Robinson","SF","8","WR156","364.0"
"364","Tanner Koziol","JAC","7","TE63","365.0"
"365","Jackson Hawes","BUF","7","TE64","366.0"
"366","Matt Hibner","BAL","13","TE65","367.0"
"367","Josh Oliver","MIN","6","TE66","368.0"
"368","Luke Schoonmaker","DAL","14","TE67","369.0"
